,Country,Year,Age Group,Both sexes,Male,Female,Both sexes.1,Male.1,Female.1
126,Norway,2010,18+  years,25.8,22.9,28.8,28.8 [8.1-63.7],25 [7.9-62.5],32.5 [9.4-67.4]
128,Pakistan,2010,18+  years,26.0,20.2,31.7,24 [6.5-60],18.5 [5.3-54],29.7 [8.4-66.4]
131,Papua New Guinea,2010,18+  years,14.7,11.8,17.5,12 [10.4-13.8],9.2 [6.6-12.3],14.8 [12.8-17.2]
132,Paraguay,2010,18+  years,24.6,22.1,27.0,23.3 [6.2-58.3],20.8 [6.1-57.9],25.9 [6.9-61.1]
134,Philippines,2010,18+  years,15.8,13.1,18.6,14.4 [3.3-42.2],11.5 [2.9-38.9],17.3 [4-47.1]
135,Poland,2010,18+  years,18.7,13.6,23.8,20.5 [5.1-52.7],14.4 [3.6-44.1],26 [6.7-59.7]
136,Portugal,2010,18+  years,34.9,31.4,38.5,37.3 [11.7-73.9],33.5 [11.6-72.7],40.8 [13-76.6]
137,Qatar,2010,18+  years,41.6,33.4,49.7,33.3 [29.8-36.8],29.9 [25.3-34.8],46.9 [41.8-52]
138,Republic of Korea,2010,18+  years,33.4,28.9,37.9,34.7 [10.7-71.9],29.4 [9.6-69.7],39.7 [13-75.9]
139,Republic of Moldova,2010,18+  years,12.3,12.9,11.7,13 [11.7-14.4],12.8 [10.3-15.6],13.2 [11.7-14.8]
140,Romania,2010,18+  years,25.3,18.9,31.8,26.5 [7-62.6],19.1 [5.2-55.3],33.3 [9.5-69.5]
141,Russian Federation,2010,18+  years,9.5,10.2,8.8,11.1 [8.4-14.4],10.1 [6.6-14.7],12 [8-16.9]
142,Rwanda,2010,18+  years,15.3,12.0,18.6,13.6 [12.4-15],10 [8.2-12],17 [15.2-18.9]
143,Saint Kitts and Nevis,2010,18+  years,32.4,22.7,42.0,37.3 [30.8-44.4],28 [19.5-38.5],46.6 [37.5-56.3]
144,Saint Lucia,2010,18+  years,41.2,27.9,54.5,41.5 [36.5-46.8],27.8 [22.8-33.1],54.5 [40.3-68.3]
146,Samoa,2010,18+  years,16.2,10.9,21.5,15.3 [13.2-17.8],9.8 [7.3-12.8],21.2 [17.8-25]
148,Sao Tome and Principe,2010,18+  years,15.6,10.3,20.9,13.4 [11.6-15.4],8.1 [4.8-12.8],18.3 [16.1-20.8]
149,Saudi Arabia,2010,18+  years,61.0,53.2,68.7,58.5 [54.6-62.2],52.1 [46.9-57.3],67.7 [62.1-73]
150,Senegal,2010,18+  years,25.0,21.0,29.0,22.1 [6-56.3],18 [5.1-52.9],25.8 [6.9-60.5]
151,Serbia,2010,18+  years,38.7,33.5,43.8,41.4 [14.7-77.4],35.3 [13.2-74.9],47.1 [17.9-81.1]
152,Seychelles,2010,18+  years,20.8,19.3,22.3,20.6 [18.4-22.9],18.2 [14.7-22.2],23 [20.2-26]
153,Sierra Leone,2010,18+  years,14.2,10.5,17.9,11.6 [8.7-15],8 [5.1-11.8],15 [9.4-22.3]
154,Singapore,2010,18+  years,33.1,30.9,35.3,33.7 [31.3-36.1],31.6 [28.5-34.9],35.7 [32.1-39.5]
155,Slovakia,2010,18+  years,17.8,16.6,19.1,19.2 [5.4-51.6],16.8 [4.6-49.2],21.4 [5.1-51.3]
156,Slovenia,2010,18+  years,21.3,17.4,25.1,24.1 [5.8-55.6],18.8 [5.3-52.8],29.2 [7.9-62.8]
157,Solomon Islands,2010,18+  years,35.1,30.2,39.9,34 [29.2-39],29 [22.6-36],39 [32.1-46.3]
159,South Africa,2010,18+  years,46.9,42.2,51.6,47.1 [42.9-51.3],40.5 [34.7-46.6],53.1 [47.2-59.1]
161,Spain,2010,18+  years,30.5,27.2,33.7,33.4 [10.3-70.3],29.2 [9.8-69.1],37.4 [11.6-73]
162,Sri Lanka,2010,18+  years,23.8,17.3,30.3,23.7 [21.8-25.8],16.9 [14.6-19.4],30.2 [27-33.6]
165,Swaziland,2010,18+  years,36.8,32.8,40.8,34.2 [10.7-72.6],29.4 [9.9-70.4],38.6 [12.5-76]
166,Sweden,2010,18+  years,28.7,24.4,33.0,31.1 [8.9-67.5],26.2 [8-64.8],35.8 [10.6-71.6]
170,Thailand,2010,18+  years,14.8,12.9,16.7,14.6 [13.4-16],12.8 [11.2-14.5],16.4 [14.5-18.5]
