,,,"Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Iceland","2010","18+  years","No data","No data","No data","No data","No data","No data"
"India","2010","18+  years","13.4 [12.2-14.8]","10.8 [9-12.9]","16.1 [14.3-17.9]","12.1 [10.8-13.4]","9.2 [7.3-11.2]","15.1 [13.4-17]"
"Indonesia","2010","18+  years","23.7 [19-29.1]","25.5 [18.6-33.5]","22 [15.7-29.7]","22.8 [18-28.1]","24.4 [17.5-32.4]","21.1 [14.8-28.9]"
"Iran (Islamic Republic of)","2010","18+  years","33.5 [32.1-34.9]","24.1 [22.5-25.8]","42.9 [40.6-45.1]","31.9 [30.5-33.3]","22.3 [20.7-24]","41.6 [39.4-43.9]"
"Iraq","2010","18+  years","49.3 [45.4-53.2]","52.8 [47.2-58.5]","45.8 [40.4-51.4]","46.3 [42.4-50.3]","49.6 [44-55.3]","43.1 [37.6-48.6]"
"Ireland","2010","18+  years","35.1 [10.9-72.3]","30 [9.8-70.1]","40.1 [13.2-76]","36 [11.3-73]","30.6 [10-70.7]","41.2 [13.7-76.8]"
"Israel","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Italy","2010","18+  years","33.2 [9.9-70.4]","28.2 [8.9-68.1]","38.1 [12-74.5]","35.9 [10.9-72.5]","30 [9.6-69.7]","41.3 [13.4-76.8]"
"Jamaica","2010","18+  years","27.9 [7.9-64.7]","23.9 [7.4-62.6]","31.8 [9.1-68.2]","28.1 [7.9-64.7]","23.7 [7.3-62.4]","32.2 [9.2-68.3]"
"Japan","2010","18+  years","33.8 [11.1-71.6]","31.1 [11.3-70.8]","36.5 [11.8-73.4]","38.7 [13.6-75.8]","35.1 [13.7-75.2]","42 [14.7-77.6]"
"Jordan","2010","18+  years","15.6 [14.3-17]","15.6 [13.8-17.6]","15.6 [13.7-17.6]","12.1 [10.8-13.5]","12.7 [10.9-14.7]","11.4 [9.6-13.4]"
"Kazakhstan","2010","18+  years","20.6 [5.2-53.2]","20.2 [5.9-55.9]","21 [5.1-52.7]","20 [5-52.4]","18.8 [5.4-54.3]","21 [5.1-52.7]"
"Kenya","2010","18+  years","19.2 [4.5-49.7]","17.3 [4.7-49.9]","21.1 [5-52.1]","16.9 [3.9-46.5]","14.9 [3.9-46.1]","18.9 [4.4-49.4]"
"Kiribati","2010","18+  years","41.1 [34.5-47.9]","33.9 [25.1-43.7]","48.2 [38.9-57.8]","39.6 [33-46.4]","31.9 [23-41.6]","46.9 [37.5-56.5]"
